date,hillary_tpd,hillary_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,slope_change2,date_num2
2016-09-27,14347712,6473808,3257,1022,3116,972,1861,313,0.0018160386826833435,5.698469553891241e-4,0.0038505930358144697,0.0012011477634183776,0.0010376567357917416,1.7452259984030905e-4,0,469,0,0,219961
2016-09-28,5725640,2388576,2611,1526,2462,1460,1808,1089,0.003648151123717174,0.0021321633913414044,0.008245917232694291,0.0048899427943678575,0.002526180479387457,0.0015215766272416707,0,470,0,0,220900
2016-09-29,4668976,1787224,1391,732,1311,694,807,419,0.0023833919900209384,0.0012542364749786677,0.00586831868864787,0.003106493646011916,0.0013827443105297607,7.179304412787729e-4,0,471,0,0,221841
2016-09-30,4528616,1599736,2029,843,1886,781,1111,410,0.0035843180344723425,0.0014891966993889523,0.009431556206774118,0.0039056444313311693,0.0019626305255292125,7.242830922295024e-4,0,472,0,0,222784
2016-10-01,4615104,1506128,2774,1910,2627,1847,2116,1546,0.004808559027055512,0.003310867967439087,0.01395366130899897,0.009810587147971487,0.003667956345079114,0.002679896271026612,0,473,0,0,223729
2016-10-02,4236808,1403600,1456,756,1375,720,924,462,0.0027492395218286976,0.0014274897517187468,0.007836990595611285,0.004103733257338273,0.0017447096965451348,8.723548482725674e-4,0,474,0,0,224676
2016-10-03,5397960,1824424,1511,621,1390,574,853,256,0.0022393645006632133,9.203476869039415e-4,0.006095074390602185,0.00251695877712637,0.001264181283299617,3.794025891262625e-4,0,475,0,0,225625
2016-10-04,4876800,1685176,1340,442,1255,423,699,157,0.0021981627296587926,7.250656167979002e-4,0.005957834671274692,0.0020080988573300354,0.0011466535433070867,2.5754593175853017e-4,0,476,0,0,226576
2016-10-05,6235408,2167320,2075,547,1946,512,1359,199,0.002662215527837152,7.017985030009263e-4,0.007183064798922171,0.0018898916634368713,0.0017435907963039468,2.5531609158534614e-4,0,477,0,0,227529
2016-10-06,3581120,1297832,1768,333,1683,312,1244,137,0.003949602359038513,7.439013492985435e-4,0.010374224090637308,0.0019232073180504101,0.0027790188544366008,3.060495040657671e-4,0,478,0,0,228484
2016-10-07,4243088,1453800,1109,370,989,336,602,111,0.0020909300019231274,6.976051404071752e-4,0.005442289173201265,0.0018489475856376392,0.001135022417635458,2.0928154212215255e-4,0,479,0,0,229441
2016-10-08,8073976,2317320,3554,1576,3279,1473,2375,848,0.003521437269568302,0.0015615602523465515,0.011319973072342188,0.005085184609807882,0.002353239593479099,8.402303895874845e-4,0,480,0,0,230400
2016-10-09,6206592,1987696,4774,3534,4464,3352,3710,2845,0.0061534574852028295,0.004555156839695601,0.017966530093132954,0.013490996611151806,0.0047820124151869495,0.0036670688197323106,0,481,0,0,231361
2016-10-10,13956800,4867696,5454,2251,4996,2068,3541,1306,0.0031262180442508314,0.0012902671099392412,0.008210866085310175,0.0033987331994438435,0.002029691619855554,7.485956666284535e-4,0,482,0,0,232324
2016-10-11,8988600,2797616,8812,2805,7870,2424,6809,1627,0.00784282313152215,0.002496495561043989,0.022504875579779354,0.0069316160616753695,0.006060120597200899,0.0014480564270297933,0,483,0,0,233289
2016-10-12,7878416,2442112,4052,1520,3717,1389,2874,873,0.004114532667480367,0.0015434574665770379,0.0121763457204256,0.004550159861627968,0.002918353130883162,8.864726107379961e-4,0,484,0,0,234256
